year,adm3,adm2,adm1,qfirms,sales,qfixedworkers,wfixedworkers,qfwmonth,qfwfem,wfwfem,qfwmfem,qfwmale,wfwmale,qfwmmale,qflexworkers,wflexworkers,qflwmonth,qflwfem,wflwfem,qflwmfem,qflwmale,wflwmale,qflwmmale,asdf_id,totalworkers,totalwage
2021,Quirihue,Itata,nuble,585,12659205.72,2299,2011110.514,1532.75,984,776478.5315,730.834,1315,1237606.763,801.916,495,369069.3325,242.584,251,159416.2246,123.417,244,209635.3329,119.167,266,2794,2380179.847
2021,Rancagua,Cachapoal,Libertador Gral. Bernardo OÕHiggins,13273,42687099.44,56647,7042202.394,29970.652,22958,3140903.624,12923.994,33923,3922792.99,17044.408,20629,1690424.721,9425.327,9806,812579.887,4697.748,10823,877844.848,4727.58,38,77276,8732627.115
2021,Ranquil,Itata,nuble,362,18351734.63,280,2810639.756,171.666,62,1080117.9,41.583,218,1735071.923,130.083,128,606709.2466,57.249,66,263687.2985,31.333,62,342997.9191,25.917,263,408,3417349.003
2021,Rauco,Curico,Maule,745,12856163.55,5540,1888004.27,1899.997,2026,702824.0955,734.665,3620,1189135.415,1165.332,721,348882.3395,237.917,342,146500.8016,137.334,379,202363.7659,100.583,330,6261,2236886.61
2021,Recoleta,Santiago, Metropolitana de Santiago,11030,62023963.01,39182,7036964.317,25887.991,15862,3030080.862,11308.08,23160,4006515.714,14578.495,20012,1646722.648,7173.744,8951,706398.243,3400.497,11061,940064.197,3773.163,189,59194,8683686.965
2021,Renaico,Malleco,La Araucania,469,18422003.41,1380,2817123.953,573.166,438,1082900.818,215.334,941,1738772.568,357.25,223,606938.2866,76.749,60,263464.0395,21.167,163,343450.2181,55.584,23,1603,3424062.24
2021,Renca,Santiago, Metropolitana de Santiago,5570,25410251.13,21832,3167849.727,12228.078,6909,976626.128,3839.498,14885,2192308.02,8388.579,7398,522027.485,2861.165,3222,213620.91,1359.499,4176,308406.575,1501.666,200,29230,3689877.212
2021,Rengo,Cachapoal,Libertador Gral. Bernardo OÕHiggins,3238,10876360.19,18428,1195222.479,7107.077,6647,461174.348,2675.581,11744,733853.164,4430.496,3239,371341.312,1466.915,1614,175749.786,805.416,1625,195591.517,661.499,273,21667,1566563.791
2021,Requinoa,Cachapoal,Libertador Gral. Bernardo OÕHiggins,1818,7989632.48,12006,805420.963,4786.497,4006,220331.416,1494.249,7967,585089.544,3292.248,1701,84028.427,622.166,789,33828.162,347.167,912,50200.265,275,39,13707,889449.39
2021,Retiro,Linares,Maule,1896,14261894.39,4956,1802428.649,1712.582,2025,614881.1475,536.917,2929,1190522.284,1174.832,766,333383.0585,321,285,136294.7046,107.417,481,197070.5809,213.583,291,5722,2135811.708
2021,Rinconada,Los Andes,Valparaiso,532,12657357.55,1561,1736413.59,636.166,577,601902.1605,216.417,1022,1138760.95,419.75,342,324591.6535,154.083,136,136242.8476,66.917,206,188331.0329,87.166,57,1903,2061005.244
2021,Rio Bueno,Ranco,Los Rios,2113,6042146.25,4657,782700.383,3433.082,1796,340652.721,1324.666,2970,453359.591,2108.417,2163,177616.528,1083.582,932,72445.594,486.666,1231,105170.934,596.916,143,6820,960316.911
2021,Rio Claro,Talca,Maule,903,13237946.95,5587,2007317.39,2190.415,2172,747575.7325,930.166,3412,1262716.447,1259.25,1000,409391.6195,483.25,504,179074.6736,280.416,496,230299.1699,202.834,276,6587,2416709.01
2021,Rio Hurtado,Limari,Coquimbo,228,18299405.8,154,2811687.657,115.917,51,1080980.85,37.083,103,1735256.875,78.833,160,606943.1316,98.583,55,263466.7455,32.5,105,343452.3581,66.083,298,314,3418630.789
2021,Rio Ibanez,General Carrera, Aisen del Gral.Carlos Ibanez del Campo,398,18359307.76,559,2852413.16,311.917,249,1101102.231,146.249,309,1755860.998,165.666,506,649927.8606,347.083,210,283416.4975,162,296,366487.3341,185.083,86,1065,3502341.021
2021,Rio Negro,Osorno,Los Lagos,840,13269694.31,2170,1857168.419,1263.583,722,651914.3385,363,1445,1208228.863,900.583,1038,353901.8325,464.166,374,150430.1496,144.833,664,203453.9109,319.333,165,3208,2211070.252
2021,Rio Verde,Magallanes,Magallanes y de la Antartica Chilena,10,7880781.058,24,1467628.128,16.167,4,663825.1479,3.083,20,805526.544,13.083,6,388732.3186,1.416,3,178899.8524,1.083,3,209821.8826,0.333,137,30,1856360.447
2021,Romeral,Curico,Maule,1369,6612232.84,11810,675552.437,3896.746,4279,186374.863,1258.582,7495,489103.597,2638.164,1558,72993.715,433.416,701,22895.526,217.667,857,50098.188,215.75,333,13368,748546.152
2021,Saavedra,Cautin,La Araucania,457,18394987.13,782,2895069.265,511.833,323,1119373.015,207.416,457,1780246.318,304.417,546,711305.3536,296.667,283,318057.1195,153.75,263,393224.2081,142.917,169,1328,3606374.619
2021,Sagrada Familia,Curico,Maule,1461,5487705.57,12962,766180.038,4157.746,4412,322013.051,1540.415,8567,447242.463,2617.248,1477,115513.609,604.582,759,48271.674,359.584,718,67241.933,245,290,14439,881693.647
2021,Salamanca,Choapa,Coquimbo,2263,15045800.87,5848,2257369.205,3477.165,2367,883859.0255,1541.25,3476,1376889.284,1935.916,2907,511767.7705,1349.998,1504,223217.3736,708.499,1403,288532.6199,641.499,299,8755,2769136.976
2021,San Antonio,San Antonio,Valparaiso,5325,15412465.81,15881,2269236.09,10139.414,5877,990567.069,4068.082,9981,1279377.986,6070.664,7124,797130.398,3507.581,3516,410938.257,1871.916,3608,386192.135,1635.666,191,23005,3066366.488
2021,San Bernardo,Maipo, Metropolitana de Santiago,12750,48282948.32,53548,8632576.482,33035.071,17955,3491220.894,12153.996,35619,5152838.425,20880.825,17315,1672765.995,7076.828,7580,716781.118,3372.998,9735,955984.897,3703.83,125,70863,10305342.48
2021,San Carlos,Punilla,nuble,3868,8928398.84,11281,1233149.058,5875.497,4773,548602.022,2470.082,6476,684852.056,3405.415,3867,376400.162,1895.666,1898,213439.614,996.5,1969,162960.54,899.166,195,15148,1609549.22
2021,San Clemente,Talca,Maule,2542,4994995.77,9382,995607.46,4593.248,3986,498006.436,2074.915,5378,497622.839,2518.331,2314,184779.658,1005.416,907,82347.309,443.667,1407,102432.347,561.749,307,11696,1180387.118
2021,San Esteban,Los Andes,Valparaiso,1046,13367264.08,2985,1797016.323,1582.582,930,611335.2205,415.833,2055,1188693.69,1166.75,878,347128.3245,352.333,351,142357.1276,137.75,527,204753.4239,214.584,300,3863,2144144.648
2021,San Fabian,Punilla,nuble,278,18315861.7,743,2813068.297,277,308,1081908.988,98.834,435,1735709.377,178.167,167,606849.6436,72.834,71,263463.3705,32.5,96,343362.2441,40.334,340,910,3419917.941
2021,San Felipe,San Felipe de Aconcagua,Valparaiso,4866,15715125.02,22426,2215103.54,11265.911,9295,1056007.288,5007.914,13090,1160754.739,6257.079,6219,423882.874,2362.415,3207,201762.461,1203.916,3012,222120.421,1158.499,72,28645,2638986.414
2021,San Fernando,Colchagua,Libertador Gral. Bernardo OÕHiggins,5075,16824937.94,24620,2296901.124,11609.16,9128,896602,4369.414,15443,1404884.36,7239.662,6299,665092.271,2814.331,2918,329423.39,1313.249,3381,335668.878,1501.082,334,30919,2961993.395
2021,San Gregorio,Magallanes,Magallanes y de la Antartica Chilena,27,18240706.12,62,2805140.551,39.75,17,1078759.271,9.666,44,1730931.348,30.083,19,605790.4156,9,12,263192.3255,7.417,7,342574.0611,1.584,101,81,3410930.967
2021,San Ignacio,Diguillin,nuble,875,13059395.1,2735,1733394.622,925.5,1173,597620.0535,286.5,1561,1138749.351,638.999,754,324497.8865,297.666,408,134867.0416,188.583,346,189613.0709,109.083,337,3489,2057892.509
2021,San Javier,Linares,Maule,3244,8462724.65,13246,1409624.304,6723.163,4968,623448.854,2631.415,8303,788671.118,4091.748,2713,207311.242,1151.749,1321,94378.589,623.667,1392,112932.656,528.083,278,15959,1616935.546
2021,San Joaquin,Santiago, Metropolitana de Santiago,4768,22232726.53,17050,2748104.265,10593.663,4685,860049.04,3102.916,12319,1890814.681,7489.664,7391,607670.693,2687.748,3189,257390.076,1275.499,4202,350280.611,1412.248,26,24441,3355774.958
2021,San Jose de Maipo,Cordillera, Metropolitana de Santiago,1007,13590719.59,2473,1960520.894,1527.833,1024,673795.3525,630.167,1465,1290178.717,897.666,2078,416854.1055,691.5,1017,176707.7656,336.75,1061,240128.5649,354.75,302,4551,2377375
2021,San Juan de la Costa,Osorno,Los Lagos,216,18294373.84,158,2810272.518,98.584,55,1080323.349,29.916,103,1734499.237,68.666,97,606051.1936,50.167,43,263379.5795,27.25,54,342647.5851,22.917,220,255,3416323.712
2021,San Miguel,Santiago, Metropolitana de Santiago,8001,33816885.94,44842,7907126.242,27208.573,16777,3396609.222,11027.83,27912,4510504.673,16180.243,16346,1784281.99,5760.077,7642,828866.885,2799.248,8704,955415.131,2960.831,36,61188,9691408.232
2021,San Nicolas,Punilla,nuble,680,18493927.54,2333,2883167.764,886.333,887,1115218.226,267.833,1446,1772499.606,618.5,764,666602.5256,360.166,341,294157.9935,171.251,423,372420.5031,188.917,339,3097,3549770.29
2021,San Pablo,Osorno,Los Lagos,549,12925834.34,1493,1801419.91,968.25,436,630384.8285,277.501,1057,1174009.863,690.75,656,368479.1675,299,223,153949.9666,114.501,433,214511.4279,184.5,29,2149,2169899.078
2021,San Pedro,Melipilla, Metropolitana de Santiago,797,13213743.17,1940,1735198.641,1138.999,616,595786.0355,315.084,1301,1142387.388,823.917,421,322379.3675,206.666,242,135251.8516,121.249,179,187109.7429,85.417,325,2361,2057578.009
2021,San Pedro de Atacama,El Loa,Antofagasta,867,12749900.16,2335,2018372.099,1434.5,1209,787610.9305,762.833,1127,1234497.693,671.667,1499,431236.1575,464.999,733,189248.3156,243.584,766,241970.0669,221.416,294,3834,2449608.257
